trail_id,name,area_name,estimated_strenuousness_score
10302747,West Rim Trail: Hermits Rest to Powell Point,Grand Canyon National Park,2
10259900,Saguaro National Park West and Old Tucson Studios Scenic Drive,Saguaro National Park,2
10235597,Roosevelt Point Trail,Grand Canyon National Park,1
10311930,Petroglyphs at King Canyon,Saguaro National Park,3
10013382,South Bass Trail,Grand Canyon National Park,5
10236023,Puerco Pueblo Trail,Petrified Forest National Park,1
10111280,Cactus Forest Trail,Saguaro National Park,4
10258739,The Escalante Route Trail,Grand Canyon National Park,5
10023951,Nankoweap Trail,Grand Canyon National Park,5
10270136,Devil's Playground Loop,Petrified Forest National Park,4
10287374,"Pink Hill, Loma Verde, Cholla Trail, and Cactus Forest Loop",Saguaro National Park,1
10272964,Hermit Trail to Dripping Springs,Grand Canyon National Park,5
10035690,Ridge View Trail,Saguaro National Park,3
10258650,Cliff Springs Trail,Grand Canyon National Park,1
10258659,Walhalla Overlook,Grand Canyon National Park,1
10258654,Widforss Trail - Short Option,Grand Canyon National Park,1
10315676,Mica View Trail to Cactus Forest Trail,Saguaro National Park,1
10259353,Clear Creek Trail,Grand Canyon National Park,5
10039514,Desert Ecology Trail,Saguaro National Park,1
10013558,New Hance Trail,Grand Canyon National Park,5
10013912,Bright Angel Trail to Tonto Trail,Grand Canyon National Park,5
10272375,Old Jasper Forest Road,Petrified Forest National Park,1
10269962,Wildhorse Trail,Saguaro National Park,3
10269284,Tanque Verde Falls Viewpoint,Saguaro National Park,3
10259355,Hermit's Rest Viewpoint to Tonto Trail to Bright Angel Trailhead,Grand Canyon National Park,5
10013747,Desert Discovery Nature Trail,Saguaro National Park,1
10259354,Boucher Trail to Hermit Trail Loop,Grand Canyon National Park,5
10112153,Thunderbird Trail,Saguaro National Park,3
10389448,"Rim Trail, South Kaibab and Bright Angel Loop",Grand Canyon National Park,5
10016910,Mather Campground Trail,Grand Canyon National Park,1
10267209,Cactus Wren Trail,Saguaro National Park,3
10259344,Tonto Trail: New Hance Trail to Grandview Point,Grand Canyon National Park,5
10266285,South to North Kalbab Trail,Grand Canyon National Park,5
10297375,Painted Desert Rim Trail to Kachina Point,Petrified Forest National Park,1
10013255,Tusayan Ruin Trail,Grand Canyon National Park,1
10269670,"Scenic, Passey, Packrat Trail Loop",Saguaro National Park,1
10384519,Ribbon Falls from the North Rim via North Kaibob Trail,Grand Canyon National Park,5
10263759,Mica Mountain via Douglas Spring and Cow Head Saddle Trail,Saguaro National Park,5
10021291,Redington OHV Trail,Saguaro National Park,2
10017278,Boucher Trail,Grand Canyon National Park,5
10268598,Hope Camp Coyote Wash and Ruiz Trail Loop,Saguaro National Park,4
10235600,Ken Patrick Trail North from Point Imperial,Grand Canyon National Park,1
10398395,Tanque Verde Falls Beach,Saguaro National Park,1
10235592,Grand Canyon Bridle Trail,Grand Canyon National Park,1
10306312,Shantz and Mica View Trail,Saguaro National Park,3
10259348,Tonto Trail from Grandview Point to South Kaibab Trailhead,Grand Canyon National Park,5
10347292,Phantom Ranch to Phantom Overlook,Grand Canyon National Park,3
10258670,Monument Point via Bill Hall Trail,Grand Canyon National Park,1
10272332,Martha's Butte,Petrified Forest National Park,3
10041333,Coyote Pass Loop Trail,Saguaro National Park,2
10004062,Waldron Trail,Grand Canyon National Park,5
10018933,Lava Falls Trail,Grand Canyon National Park,5
10037999,Turkey Creek,Saguaro National Park,5
10299272,Cactus Canyon and Gila Monster Loop via Thunderbird Trail,Saguaro National Park,4
10111891,Panther Peak Wash - Roadrunner Loop,Saguaro National Park,3
10039029,Manning Camp Trail,Saguaro National Park,5
10263672,Tanner Trail to Grandview Trail and Grandview Point,Grand Canyon National Park,5
10378554,Blue Hills Loop,Petrified Forest National Park,3
10327921,Grandview Point to Horseshoe Mesa East Trail,Grand Canyon National Park,5
10304376,Tonto Trail to Monument Creek,Grand Canyon National Park,5
10272356,Martha's Butte Off-Trail Route,Petrified Forest National Park,1
10311730,Vertical Cliffs Trail to Abington Trail Loop,Saguaro National Park,1
10028602,Bajada Loop Drive,Saguaro National Park,2
10272764,"Hope Campe, Ruiz Trail, and Coyote Wash Trail",Saguaro National Park,4
10307988,Wild Horse to Garwood Dam,Saguaro National Park,1
10111287,Cam-Boh Trail,Saguaro National Park,3
10379267,Hermit Trail to Granite Rapids Campground,Grand Canyon National Park,5
10272205,Tanner Beach and Lava Rapids Trail,Grand Canyon National Park,4
10028565,Ken Patrick Trail South from Point Imperial,Grand Canyon National Park,5
10313180,"Shantz, Mesquite, Loma and Cholla Trail Loop",Saguaro National Park,2
10265889,"South Kaibab, North Kaibab and Bright Angel Trail",Grand Canyon National Park,5
10236034,Cow Head Saddle Trail,Saguaro National Park,5
10347968,Hermit Camp to Monument Creek Camp via Tonto Trail,Grand Canyon National Park,4
10258658,Walhalla Ruins,Grand Canyon National Park,1
10022546,Deer Creek to Colorado River,Grand Canyon National Park,5
10267224,Ironwood Forest Picture Rocks Wash Trail,Saguaro National Park,3
10006893,Blue Springs Trail,Grand Canyon National Park,4
10009407,North Bass Trail,Grand Canyon National Park,5
10259364,South Canyon,Grand Canyon National Park,5
10014422,Arizona Trail #36,Grand Canyon National Park,5
10269033,South Bass to Hermits Rest via Tonto West,Grand Canyon National Park,5
10348524,Encinas Trail from Ez-Kim-In-Zin Picnic Area,Saguaro National Park,4
10268788,Tanner and Beamer Trail,Grand Canyon National Park,4
10268789,Palisades Creek Trail,Grand Canyon National Park,4
10259359,Powell Plateau Trail,Grand Canyon National Park,3
10272462,First Forest Point,Petrified Forest National Park,3
10261755,Valley View and Wild Dog Trails,Saguaro National Park,3
10394939,"Shantz, Vanover, Loma Verde, Cholla, Cactus Forest Trail Loop",Saguaro National Park,4
10007969,Tiyo Point Trail,Grand Canyon National Park,4
10366335,"Hugh Norris, Sendero Esperanza, Dobbie Wash Loop",Saguaro National Park,4
10453902,Hope Camp to Grass Shack Camp Trail,Saguaro National Park,5
10286475,AZ Trail Segment 37,Grand Canyon National Park,4
10314641,Schmutz Spring,Grand Canyon National Park,4
10421252,Horseshoe Mesa Loop via Grand View Trail,Grand Canyon National Park,5
10483525,Arizona Trail: Savilla Campground to Saguaro National Park,Saguaro National Park,4
10427265,Thunder River Trail from Indian Hollow Parking Area,Grand Canyon National Park,5
10258671,North Bass Trail to Muav Cabin,Grand Canyon National Park,1
10456484,"Douglas Spring, Converse, Garwood  and Wildhorse Loop",Saguaro National Park,1
10545419,Redington Pass Chiva Falls OHV Loop,Saguaro National Park,4
10041922,Sunset Trail,Hot Springs National Park,5
10235890,West Mountain Trail,Hot Springs National Park,3
10264755,Goat Rock Trail,Hot Springs National Park,3
10264753,Gulpha Gorge Trail,Hot Springs National Park,3
10039426,The Grand Promenade and Side Trails,Hot Springs National Park,3
10007938,Dead Chief Trail,Hot Springs National Park,3
10267800,Hot Springs Mountain Trail,Hot Springs National Park,1
10017178,Peak Trail,Hot Springs National Park,1
10235889,Sugarloaf Mountain Via Sunset Trail,Hot Springs National Park,4
10354929,Goat Rock via Dead Chief Trail,Hot Springs National Park,3
10264248,Grand Promenade,Hot Springs National Park,1
10291742,Hot Springs Sunset Trail Full Circle,Hot Springs National Park,5
10307591,Sunset Trail: Sugarloaf Mountain Section,Hot Springs National Park,3
10308425,Upper Dogwood Trail,Hot Springs National Park,1
10367719,Mountaintop Loop,Hot Springs National Park,1
10308451,Lower Dogwood Trail,Hot Springs National Park,1
10026910,Vernal and Nevada Falls via the Mist Trail,Yosemite National Park,4
10005895,Upper Yosemite Falls Trail,Yosemite National Park,5
10005585,Half Dome Trail,Yosemite National Park,5
10026952,Moro Rock Trail,Sequoia National Park,3
10011926,Lower Yosemite Falls Trail,Yosemite National Park,1
10027503,Clouds Rest Trail via Tenaya Lake,Yosemite National Park,5
10010560,Four Mile Trail,Yosemite National Park,5
10031426,Sentinel Dome Trail,Yosemite National Park,1
10033113,Glacier Point Trail,Yosemite National Park,1
10276593,Vernal Falls,Yosemite National Park,3
10011170,Ryan Mountain Trail,Joshua Tree National Park,3
10235913,Mirror Lake via Valley Loop Trail,Yosemite National Park,2
10026962,Tokopah Falls via Tokopah Valley Trail,Sequoia National Park,3
10028848,Lassen Peak,Lassen Volcanic National Park,5
10031466,Mist Falls Trail,Kings Canyon National Park,4
10006090,"Heather Lake, Emerald Lake, and Pear Lake Trail via Watchtower and Pear Lake Trails",Sequoia National Park,5
10031888,Barker Dam Nature Trail,Joshua Tree National Park,1
10235992,General Sherman Tree Trail,Sequoia National Park,1
10235907,Bridalveil Fall Trail,Yosemite National Park,1
10027546,Marble Falls Trail,Sequoia National Park,4
10035554,Hidden Valley Nature Trail,Joshua Tree National Park,1
10028653,Taft Point and The Fissures,Yosemite National Park,1
10033156,Rae Lakes Trail,Kings Canyon National Park,5
10031456,Congress Trail,Sequoia National Park,1
10002863,Cathedral Lakes Trail,Yosemite National Park,4
10003872,Lost Palms Oasis,Joshua Tree National Park,4
10010871,Vernal and Nevada Falls via the Panorama Trail,Yosemite National Park,5
10013977,Condor Gulch Trail to High Peaks Trail Loop,Pinnacles National Park,5
10019827,Arch Rock Nature Trail,Joshua Tree National Park,1
10235908,Columbia Rock Trail,Yosemite National Park,4
10037289,Porcupine Creek Trail to Indian Ridge Natural Arch to North Dome,Yosemite National Park,4
10034036,Fortynine Palms Oasis Trail,Joshua Tree National Park,3
10004781,John Muir Trail via Yosemite Valley,Yosemite National Park,5
10031887,Lost Horse Mine Loop Trail,Joshua Tree National Park,4
10012390,Mariposa Grove of Giant Sequoias Trail,Yosemite National Park,4
10235922,Chilnualna Falls Trail,Yosemite National Park,4
10006688,Badwater Basin Salt Flats Trail,Death Valley National Park,1
10293225,Sentinel Dome and Taft Point Loop,Yosemite National Park,4
10298575,Nevada Falls,Yosemite National Park,5
10274952,Tall Trees Grove Loop Trail,Redwood National Park,3
10023775,Skull Rock Nature Trail,Joshua Tree National Park,1
10014345,Clouds Rest Trail from Yosemite Valley,Yosemite National Park,5
10033137,General Grant Loop Trail,Kings Canyon National Park,1
10013813,El Capitan Trail (historical),Yosemite National Park,5
10040340,Alta Peak Trail,Sequoia National Park,5
10259802,Mineral King to Eagle Lake Trail,Sequoia National Park,4
10235993,Big Trees Trail,Sequoia National Park,1
10026955,Giant Forest Loop Trail,Sequoia National Park,2
10028648,Wapama Falls Trail,Yosemite National Park,3
10236017,Mesquite Flat Sand Dunes Trail,Death Valley National Park,1
10235899,Cholla Cactus Garden Nature Trail,Joshua Tree National Park,1
10236155,Kings Creek Falls Trail,Lassen Volcanic National Park,3
10261348,Yosemite Point,Yosemite National Park,5
10026896,Tuolumne Grove Trail,Yosemite National Park,3
10242664,Crystal Cave Trail,Sequoia National Park,3
10037534,Lady Bird Johnson Grove Trail,Redwood National Park,1
10036246,Heather Lake via Watchtower Trail,Sequoia National Park,4
10029986,Cinder Cone Nature Trail,Lassen Volcanic National Park,5
10032060,Mount Dana Summit Trail,Yosemite National Park,5
10029819,Zumwalt Meadow And Roaring River Falls,Kings Canyon National Park,1
10035907,Old Pinnacles Trail Loop,Pinnacles National Park,4
10031884,Willow Hole Trail,Joshua Tree National Park,4
10007086,High Sierra Trail: Crescent Meadow to Whitney Portal,Sequoia National Park,5
10041400,Paradise Valley Trail,Kings Canyon National Park,4
10111782,Mount Hoffman Trail,Yosemite National Park,5
10004744,Twin Lakes Trail,Sequoia National Park,5
10033119,Tenaya Lake Trail,Yosemite National Park,1
10027108,Brokeoff Mountain Trail,Lassen Volcanic National Park,5
10034011,Zabriskie Point,Death Valley National Park,1
10028494,Mastodon Peak Loop Trail,Joshua Tree National Park,1
10026938,Redwood Canyon Sugar Bowl Trail,Kings Canyon National Park,4
10026957,Crescent and Log Meadows Trail,Sequoia National Park,1
10258341,Bear Gulch Day Use Area to Reservoir via Rim Trail,Pinnacles National Park,3
10252968,Split Rock Loop Trail,Joshua Tree National Park,1
10235919,Sentinel Meadow Cook's Meadow Loop Trail,Yosemite National Park,1
10111890,Black Rock Canyon to Panorama Loop Trail,Joshua Tree National Park,4
10034225,Mineral King to Little Five Lakes Trail,Sequoia National Park,5
10235927,Illilouette Falls Trail,Yosemite National Park,3
10027315,Dante's View Trail,Death Valley National Park,1
10027540,Big Baldy Ridge Trail,Sequoia National Park,4
10031434,Tuolumne Meadows to Glen Aulin High Sierra Camp,Yosemite National Park,4
10033216,Telescope Peak Trail,Death Valley National Park,5
10036262,Mount Langley,Sequoia National Park,5
10032041,Hetch Hetchy Trail to Rancheria Falls,Yosemite National Park,5
10243572,Valley Floor Loop Trail,Yosemite National Park,2
10011461,Golden Canyon Trail to Red Cathedral,Death Valley National Park,3
10006763,Lembert Dome Loop,Yosemite National Park,3
10016234,Little Baldy Trail,Sequoia National Park,3
10235911,Inspiration Point Trail,Yosemite National Park,3
10013938,High Peaks Trail,Pinnacles National Park,5
10273406,Mirror Lake from Shuttle Stop 17,Yosemite National Park,1
10039812,Ten Lakes Trail,Yosemite National Park,5
10259118,Hanging Rock Trail,Sequoia National Park,1
10236157,Mill Creek Falls Trail,Lassen Volcanic National Park,3
10031432,Olmsted Point Nature Trail,Yosemite National Park,1
10260204,Golden Canyon and Gower Gulch Loop via Zabriskie Point,Death Valley National Park,4
10259901,Manzanita Lake Loop,Lassen Volcanic National Park,1
10037318,High Sierra Trail to Hamilton Lakes,Sequoia National Park,5
10027534,Sugar Bowl - Redwood Creek Loop,Kings Canyon National Park,4
10026939,"Hart Tree, Fallen Goliath, Redwood Creek Loop",Kings Canyon National Park,4
10031637,Devil's Kitchen Trail,Lassen Volcanic National Park,3
10034281,Mosaic Canyon Trail,Death Valley National Park,1
10259433,High Peaks & Balconies Cave Loop Trail,Pinnacles National Park,4
10136861,Boy Scout Trail To Willow Hole Extended Route,Joshua Tree National Park,4
10015097,Moses Spring Trail to Bear Gulch Reservoir,Pinnacles National Park,3
10008947,Old Pinnacles Trail to Balconies,Pinnacles National Park,4
10291879,Zumwalt Meadow Loop Trail,Kings Canyon National Park,1
10414200,Mirror Lake Paved Trail,Yosemite National Park,1
10035721,Potato Harbor Trail,Channel Islands National Park,1
10026944,Muir Grove Trail,Sequoia National Park,3
10037326,Monarch Lakes Trail,Sequoia National Park,5
10269473,The Maze Loop,Joshua Tree National Park,3
10028456,Death Valley Natural Bridge Road,Death Valley National Park,1
10294476,Roaring River Falls Trail,Kings Canyon National Park,1
10022095,Hidden Beach and False Klamath Rock,Redwood National Park,4
10294375,Grizzly Falls,Kings Canyon National Park,1
10022595,Darwin Falls Trail via Old Toll Road,Death Valley National Park,1
10034189,Smugglers Cove Trail,Channel Islands National Park,4
10013268,Balconies Trail,Pinnacles National Park,4
10381604,Grizzly Giant Loop Trail,Yosemite National Park,1
10260515,Sawtooth Pass Trail,Sequoia National Park,5
10018534,Kibbie Lake Trail,Yosemite National Park,5
10017427,Gaylor Lakes Trail,Yosemite National Park,5
10016528,Juniper Canyon Trail to High Peaks,Pinnacles National Park,5
10036072,Wall Street Mill Trail,Joshua Tree National Park,1
10279543,Eagle View Trail,Sequoia National Park,3
10235925,Dewey Point Trail,Yosemite National Park,4
10009508,Gower Gulch Loop Trail,Death Valley National Park,3
10236037,Desolation Canyon Trail,Death Valley National Park,3
10031728,Redwood Creek Trail,Redwood National Park,4
10008916,John Muir Trail in Kings Canyon,Kings Canyon National Park,5
10112073,Snow Creek Falls Trail,Yosemite National Park,5
10028657,May Lake High Sierra Camp from Tioga Pass Road,Yosemite National Park,4
10015707,Black Rock Canyon Trail to Warren Peak,Joshua Tree National Park,5
10036243,Ladybug Camp Trail,Sequoia National Park,4
10461398,El Capitan Loop,Yosemite National Park,5
10235905,Artist Point Trail,Yosemite National Park,3
10031465,Franklin Lakes Trail,Sequoia National Park,5
10027494,Grand Canyon of the Tuolumne,Yosemite National Park,4
10021742,Keys View Loop to Inspiration Point Trail,Joshua Tree National Park,1
10026916,Young Lakes Trail Loop,Yosemite National Park,4
10002434,May Lake,Yosemite National Park,3
10235928,Elizabeth Lake Trail,Yosemite National Park,3
10258447,Hetch Hetchy Loop via Lake Vernon,Yosemite National Park,5
10257832,North View and Maze Trails,Joshua Tree National Park,4
10257120,Panorama Trail to Little Yosemite Valley,Yosemite National Park,5
10027530,Big Stump Loop Trail,Kings Canyon National Park,1
10305598,Balconies Cave Trail,Pinnacles National Park,3
10035725,Sunrise Lakes Trail,Yosemite National Park,5
10007611,Eagle Peak Trail,Yosemite National Park,5
10259504,Tuolumne Meadows to Yosemite Valley Trail,Yosemite National Park,4
10007625,Chaos Crags Trail,Lassen Volcanic National Park,3
10026919,Lyell Canyon and Vogelsang Loop Trail,Yosemite National Park,5
10259676,Lower Chilnualna Falls Trail,Yosemite National Park,3
10035722,Scorpion Bay to Cavern Point Loop,Channel Islands National Park,1
10029616,Berdoo Canyon,Joshua Tree National Park,4
10270277,Artists Drive,Death Valley National Park,2
10026923,Mono Pass Trail,Yosemite National Park,4
10258345,Balconies Trail to Machete Ridge,Pinnacles National Park,1
10033115,Ostrander Lake Trail,Yosemite National Park,4
10280627,Tharp's Log Trail,Sequoia National Park,3
10002313,Pohono Trail Glacier Point to Inspiration Point,Yosemite National Park,4
10005777,High View Nature Trail,Joshua Tree National Park,3
10026911,Yosemite Valley to Tuolumne Meadows Trail,Yosemite National Park,4
10035749,Buena Vista Trail,Kings Canyon National Park,1
10304804,Four Mile Trail to Panorama Trail Loop,Yosemite National Park,5
10038502,Cluster Lakes Loop Trail,Lassen Volcanic National Park,4
10026950,Lodgepole and Willow Meadow,Sequoia National Park,1
10038340,Swinging Bridge Trail,Yosemite National Park,1
10037285,Rancheria Falls Trail,Yosemite National Park,4
10236154,Boiling Springs Lake Loop Trail,Lassen Volcanic National Park,1
10028484,Joshua Tree National Park Geology OHV Tour Road,Joshua Tree National Park,4
10268965,Nine Lakes Basin Loop Trail,Sequoia National Park,5
10284283,Cold Boiling Lake Trail to Bumpass Hell Trail,Lassen Volcanic National Park,4
10037327,Road's End to the Bailey Bridge,Kings Canyon National Park,1
10287617,Yosemite Grand Tour,Yosemite National Park,5
10026905,Wawona Meadow Loop Trail,Yosemite National Park,1
10018535,Merced Grove Trail,Yosemite National Park,1
10026904,West Valley Loop Trail,Yosemite National Park,2
10261197,High Peaks and Bear Gulch Loop Trail,Pinnacles National Park,5
10031892,Desert Queen Mine and Eagle Cliff Boulder House,Joshua Tree National Park,1
10233574,Bearpaw Meadow to Redwood Meadow Trail,Sequoia National Park,4
10027342,Cap Rock and Gram Parsons Nature Trail,Joshua Tree National Park,1
10036242,Sunset Rock,Sequoia National Park,1
10271411,Devil's Golf Course,Death Valley National Park,1
10111582,May Lake from Sunrise Lakes Trailhead,Yosemite National Park,4
10031458,Paradise Creek Trail,Sequoia National Park,2
10282051,Artist's Palette,Death Valley National Park,1
10034206,North Grove Loop Trail,Kings Canyon National Park,1
10298171,Tuolumne Meadow to Cathedral Pass,Yosemite National Park,4
10017321,Indian Cove Campground Trail,Joshua Tree National Park,1
10026964,Hotel Creek Trail to Cedar Grove Overlook,Kings Canyon National Park,3
10028846,Ridge Lakes Trail,Lassen Volcanic National Park,3
10282040,Hall of Horrors,Joshua Tree National Park,1
10021734,Sidewinder Canyon,Death Valley National Park,3
10041494,Terminal Geyser & Boiling Springs Lake,Lassen Volcanic National Park,4
10032088,Crystal Lake via Sawtooth Pass Trail,Sequoia National Park,5
10041388,Ranger Lake,Sequoia National Park,4
10266358,Cottonwood-Marble Canyon Loop,Death Valley National Park,5
10024737,Panamint Dunes Trail,Death Valley National Park,3
10015881,Yosemite Creek Trail,Yosemite National Park,4
10026002,Old Dale Road,Joshua Tree National Park,5
10304683,Joshua Tree Boy Scout Trail,Joshua Tree National Park,4
10269475,Eagle Cliff Mine,Joshua Tree National Park,3
10032051,East Valley Floor Trail,Yosemite National Park,2
10291166,Mineral King Loop,Sequoia National Park,5
10034341,Echo Lake Trail,Lassen Volcanic National Park,3
10261350,Lembert Dome Trail,Yosemite National Park,3
10359466,Clouds Rest Loop,Yosemite National Park,5
10266972,"Vernal, Nevada, and Illilouette Fall Route",Yosemite National Park,5
10016346,Chalone Peak Trail,Pinnacles National Park,4
10292226,Bridalveil Falls from Southside Drive,Yosemite National Park,1
10263609,Pohnono Trail to Sentinel Dome Trail Loop,Yosemite National Park,3
10258337,Condor Gulch Trail To Overlook,Pinnacles National Park,3
10027809,Skunk Cabbage Trail,Redwood National Park,4
10019938,El Montanon Trail,Channel Islands National Park,5
10040347,Bearpaw Meadow to Hamilton Lake Trail,Sequoia National Park,4
10288963,Crescent Meadow Loop Trail,Sequoia National Park,1
10260887,Ubehebe and Little Hebe Crater Trail,Death Valley National Park,1
10034024,Black Rock Canyon Trail,Joshua Tree National Park,3
10028660,Pothole Dome Trail,Yosemite National Park,1
10260286,Tuolumne River Loop: Dana and Lyell Forks,Yosemite National Park,1
10478156,Panorama Trail,Yosemite National Park,5
10005121,Potwisha Campground Trail,Sequoia National Park,1
10235912,Stanford Point Trail,Yosemite National Park,5
10027114,Paradise Meadow Trail,Lassen Volcanic National Park,3
10021862,Salt Creek Interpretive Trail,Death Valley National Park,1
10266346,Mount Williamson Trail,Kings Canyon National Park,5
10005425,Dog Lake Trail,Yosemite National Park,1
